2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:13.708 [D]  partition:5,offset:27,Key:,Value:2018/12/25 21:41:14.058 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:13.743 [D]  partition:3,offset:21,Key:,Value:2018/12/25 23:00:42.146 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:13.772 [D]  partition:7,offset:21,Key:,Value:2018/12/25 23:00:42.147 [D]  conne etcd succ
2018/12/26 16:20:13.877 [D]  partition:6,offset:34,Key:,Value:2018/12/25 23:00:43.147 [D]  init etcd success
2018/12/26 16:20:13.878 [D]  partition:4,offset:23,Key:,Value:2018/12/26 01:05:21.075 [E]  client get from etcd failed,errcontext deadline exceeded
2018/12/26 16:20:13.884 [D]  partition:0,offset:26,Key:,Value:2018/12/26 01:05:21.075 [D]  init etcd success
2018/12/26 16:20:13.983 [D]  partition:2,offset:41,Key:,Value:2018/12/26 01:09:46.975 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.035 [D]  partition:5,offset:28,Key:,Value:2018/12/26 01:07:55.986 [D]  connect etcd succ
2018/12/26 16:20:14.036 [D]  partition:3,offset:22,Key:,Value:2018/12/26 01:05:20.074 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.036 [D]  partition:7,offset:22,Key:,Value:2018/12/25 23:00:43.147 [E]  client get from etcd failed,errcontext deadline exceeded
2018/12/26 16:20:14.041 [D]  partition:6,offset:35,Key:,Value:2018/12/26 01:11:15.733 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.049 [D]  partition:1,offset:32,Key:,Value:2018/12/26 01:12:10.990 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.092 [D]  partition:0,offset:27,Key:,Value:2018/12/26 01:26:44.323 [D]  connect etcd succ
2018/12/26 16:20:14.115 [D]  partition:4,offset:24,Key:,Value:2018/12/26 01:26:44.326 [D]  begin watch key:/oldboy/backend/logagent/config/192.168.76.139
2018/12/26 16:20:14.122 [D]  partition:5,offset:29,Key:,Value:2018/12/26 01:07:55.989 [D]  resp from etcd:[]
2018/12/26 16:20:14.130 [D]  partition:3,offset:23,Key:,Value:2018/12/26 01:05:20.074 [D]  connect etcd succ
2018/12/26 16:20:14.132 [D]  partition:7,offset:23,Key:,Value:2018/12/26 01:07:55.986 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.149 [D]  partition:6,offset:36,Key:,Value:2018/12/26 01:11:15.736 [D]  init etcd success
2018/12/26 16:20:14.174 [D]  partition:2,offset:42,Key:,Value:2018/12/26 01:09:46.975 [D]  init etcd success
2018/12/26 16:20:14.181 [D]  partition:1,offset:33,Key:,Value:2018/12/26 01:26:44.325 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.185 [D]  partition:0,offset:28,Key:,Value:2018/12/26 01:26:45.080 [E]  initKafka failed errkafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:20:14.191 [D]  partition:4,offset:25,Key:,Value:2018/12/26 01:36:30.527 [D]  init all success
2018/12/26 16:20:14.192 [D]  partition:5,offset:30,Key:,Value:2018/12/26 01:07:55.989 [D]  init etcd success
2018/12/26 16:20:14.219 [D]  partition:7,offset:24,Key:,Value:2018/12/26 01:09:46.972 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.220 [D]  partition:3,offset:24,Key:,Value:2018/12/26 01:09:46.972 [D]  connect etcd succ
2018/12/26 16:20:14.239 [D]  partition:6,offset:37,Key:,Value:2018/12/26 01:12:10.987 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.243 [D]  partition:2,offset:43,Key:,Value:2018/12/26 01:11:15.733 [D]  connect etcd succ
2018/12/26 16:20:14.249 [D]  partition:1,offset:34,Key:,Value:2018/12/26 01:26:44.325 [D]  init etcd success
2018/12/26 16:20:14.269 [D]  partition:0,offset:29,Key:,Value:2018/12/26 01:36:30.527 [D]  init kafka success
2018/12/26 16:20:14.285 [D]  partition:7,offset:25,Key:,Value:2018/12/26 01:26:44.323 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.315 [D]  partition:5,offset:31,Key:,Value:2018/12/26 01:12:10.990 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.315 [D]  partition:4,offset:26,Key:,Value:2018/12/26 01:52:25.053 [D]  init etcd success
2018/12/26 16:20:14.315 [D]  partition:6,offset:38,Key:,Value:2018/12/26 01:21:55.359 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.317 [D]  partition:3,offset:25,Key:,Value:2018/12/26 01:09:46.975 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:105 mod_revision:105 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.331 [D]  partition:1,offset:35,Key:,Value:2018/12/26 01:26:44.325 [D]  initTailf success
2018/12/26 16:20:14.338 [D]  partition:2,offset:44,Key:,Value:2018/12/26 01:11:15.736 [D]  resp from etcd:[]
2018/12/26 16:20:14.346 [D]  partition:0,offset:30,Key:,Value:2018/12/26 01:38:04.027 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.355 [D]  partition:6,offset:39,Key:,Value:2018/12/26 01:21:55.362 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
